JPWORD,ENGWORD
部分,part
漫画,comics
最大,maximum
名称,name
石,stone
員,member
独立,independence
書,book
施設,facility
場所,place
県道,Prefectural road
始まる,begins
示す,show
以降,onwards
様々,various
大きな,big
クラブ,club
機能,function
天,Heaven
サッカー,soccer
部隊,troops
搭載,mounted
初めて,first time
兵,soldier
高校,high school
公開,Release
党,party
編成,organization
運動,motion
量,amount
時期,season
センター,Center
製作,Production
藩,domain
強い,strong
企業,company
受賞,Award
付く,attached
院,Hospital
店,shop
戦闘,battle
結ぶ,tie
目的,the purpose
通常,usually
対応,correspondence
残る,remain
勝利,victory
ホーム,home
管理,management
至る,reach
団,group
木,wood
最終,Final
基本,basic
教授,Professor
ドラマ,Drama
挙げる,list
構造,structure
作曲,Composition
アニメ,anime
設計,design
実施,implementation
現,current
長い,long
メンバー,member
領,territory
交通,traffic
室,room
協会,association
女子,girls
者,person
設定,setting
発見,discovery
契約,contract
信,Faith
英語,English
生活,life
連合,union
自動車,car
指揮,command
色,color
自分,myself
及ぶ,extend
ラジオ,radio
歌,song
重,heavy
規模,scale
移籍,transfer
思う,think
廃止,abolition
名前,name
重要,important
成功,success
原,original
予定,schedule
特別,special
認める,admit
キャラクター,character
巻,roll
最高,the best
加える,add
ここ,here
バンド,band
再び,again
武,Takeshi
実際,actual
そこ,There
似る,similar
組,set
運転,driving
専門,specialty
出版,publication
内容,Content
煎る,roast
個,Individual
小学校,primary school
義,righteousness
数,number
終わる,end
例,example
リリース,release
合わせる,match
大戦,Great War
科学,science
運行,Operation
対,versus
北海道,Hokkaido
士,scholar
ヨーロッパ,Europe
群,group
少ない,few
指定,designation
江戸,Edo
ところ,place
陸軍,army
残す,leave
教会,church
期間,period
共和,republic
前,Before
国家,nation
連続,continuous
門,gate
導入,introduction
記念,memorial
団体,group
結成,formation
特徴,Features
または,or
表記,Notation
平,flat
校,school
宇宙,universe
総合,comprehensive
死去,passed away
小説,novel
大統領,president
公園,park
タイトル,title
カード,card
警察,police
形式,format
競技,competition
結婚,marriage
参照,reference
係わる,be involved
夏,summer
ローマ,Rome
国民,people
中学校,junior high school
評価,evaluation
オリンピック,Olympic
新た,new
運営,operation
選ぶ,choose
完全,Perfect
連邦,federal
経営,management
条,article
指導,guidance
会議,meeting
谷,valley
決勝,final
英,English
先,destination
展開,Deployment
完成,Complete
品,Goods
多数,many
別,another
周辺,neighborhood
子供,child
対象,subject
事務,Office work
概要,overview
提供,offer
飛行,flight
進む,move on
天皇,emperor
田,Field
娘,daughter
マン,man
市立,municipal
サービス,service
ほぼ,almost
向かう,heading towards
扱う,handle
引退,retirement
あるいは,or
求める,demand
同時に,at the same time
男,Man
理由,reason
人気,Popularity
族,tribe
作戦,Strategy
円,circle
勝つ,win
非常,emergency
頭,Head
音,sound
除く,except
デザイン,design
議会,parliament
政,Government
人間,human
公式,official
しか,deer
編,Edited
初期,initial
環境,environment
星,Star
流れる,flowing
彼女,she
誌,magazine
時点,point in time
レース,race
通り,street
打,Hit
全体,whole
自由,freedom
座,seat
労働,labor
表示,display
例えば,for example
和,sum
発行,issue
自治,autonomy
裁判,trial
方法,Method
支援,support
共同,Joint
文字,letter
その他,others
関連,connection
新しい,new
国道,national highway
左,left
スポーツ,sports
値,value
広島,Hiroshima
スペイン,Spain
営業,sales
花,flower
行,line
母,mother
様,Mr.
輸送,transportation
野,field
屋,shop
説,theory
舞台,stage
以前,Before
方面,Direction
合併,merger
アジア,Asia
演奏,performance
工業,industry
建築,architecture
春,spring
法人,Corporation
圏,sphere
街,city
いずれ,Either
データ,data
送る,send
運用,Operation
高速,high speed
一覧,List
大正,Taisho
区間,section
能力,ability
支配,control
有名,famous
銀行,Bank
新聞,newspaper
翌年,following year
空港,airport
由来,Origin
競馬,horse racing
学者,scholar
韓国,South Korea
自ずから,naturally
産業,industry
整備,Maintenance
口,mouth
史,history
行政,administration
試験,test
明,Akira
妻,wife
ニューヨーク,new york
方式,method
発展,development
枠,frame
丸,circle
ジョン,John
状況,situation
基づく,based on
主要,major
既に,already
変化,change
神社,shrine
違う,different
当,Current
右,right
両,both
対戦,match
制度,system
広い,wide
番号,number
戻る,return
成立,Established
港,port
新,new
通信,communication
内,Inside
連載,Serialization
装置,Device
後半,Latter half
頃,Around the time
移動,move
企画,plan
電気,electricity
平均,average
庁,Agency
プレー,play
掲載,publish
清,Qing
祭,festival
民,people
南部,southern
サイト,site
距離,distance
分類,classification
種類,kinds
スーパー,Supermarket
男性,male
風,Wind
福岡,Fukuoka
状,condition
形成,formation
階,floor
差,difference
付近,near
師,teacher
言語,language
元年,first year
登録,Registration
物語,story
まま,Mama
工場,factory
主張,claim
大臣,minister
含める,include
自然,Nature
装備,Equipment
丘,hill
迎える,Welcome
属,genus
開く,open
撮影,photograph
系列,series
近い,close
以後,From then on
事故,accident
正式,formal
成績,Grades
旧,old
路,road
複数,multiple
美術,art
雑誌,magazine
論,theory
電車,train
初代,first generation
設ける,establish
帯,band
家,House
述べる,state
写真,photograph
地球,earth
政権,administration
蔵,Warehouse
競走,race
起こる,happen
惑星,planet
学ぶ,learn
県立,Prefectural
部門,Department
中継,relay
王国,kingdom
末,end
千葉,Chiba
類,kind
表現,Expression
動物,animal
司令,command
忠,Tadashi
鉄,iron
製品,product
支持,support
入れる,put in
ビル,building
組む,assemble
病院,hospital
方,direction
乗る,get on
艦隊,fleet
経験,experience
秋,autumn
地上,above ground
メートル,meter
竜,dragon
指す,point
横浜,Yokohama
復帰,return
語る,talk
条件,conditions
将軍,general
ファン,fan
敗れる,be defeated
名古屋,Nagoya
称する,call
学生,student
劇場,theater
選出,election
行動,action
心,heart
言葉,words
クラス,class
弾,Bullet
久,long
森,forest
紹介,introduction
客,customer
率いる,lead
着る,wear
少年,boy
失う,lose
拡大,expansion
姿,figure
尾,tail
政策,policy
敵,enemy
専用,exclusive
年頃,Around the year
軍事,military
宮,Palace
このよう,like this
編集,edit
相手,partner
大形,large size
進出,advance
保,Protection
イベント,event
文学,literature
着,arrival
ダム,dam
反対,Opposition
保護,protection
進める,proceed
程,degree
女,woman
追加,addition
湖,lake
俳優,actor
メーカー,Maker
人々,people
界,world
開業,Opening of business
林,Hayashi
工事,construction
継ぐ,inherit
現代,present day
表す,represent
方向,direction
学部,Faculty
確認,confirmation
立つ,stand
記述,description
直接,directly
又は,or
個人,individual
事実,fact
統合,integration
見せる,show
オリジナル,original
配置,arrangement
従来,Conventional
批判,criticism
国立,national
会長,chairman
住む,live
定める,stipulate
条約,treaty
増加,increase
北部,northern
近年,recent years
夫,husband
唯一,Only
業,business
息子,son
決める,decide
候補,candidate
過去,past
映像,picture
普通,usually
堂,Hall
白,White
芸術,art
作家,Writer
パリ,Paris
途中,in the middle
相,phase
取得,acquisition
字,character
戦後,postwar
効果,effect
地元,local
得点,score
トップ,Top
ライブ,live
僅か,slightly
章,chapter
報告,report
女優,actress
朝鮮,Korea
標準,standard
集,collection
吉,Kichi
赤,red
項,term
ロンドン,London
観光,sightseeing
目指す,aim
コンピューター,computer
ソ連,USSR
器,vessel
離れる,Leave
べし,Must
声,voice
防衛,defense
起こす,wake up
住民,residents
革命,revolution
インド,India
徳,virtue
電話,phone
直,straight
各地,various places
内閣,cabinet
限定,limited
王座,throne
ロック,rock
店舗,store
新潟,Niigata
本線,Main line
黒,black
弟,younger brother
波,wave
博士,doctor
湾,bay
規定,regulations
流,flow
核,nuclear
外国,foreign country
ニュース,news
法律,law
紀元,A.D.
太,Thick
変わる,change
協力,cooperation
読む,read
社長,president
業務,business
集める,collect
電子,electronic
低い,low
市民,citizen
不明,not clear
創設,Founding
楽曲,songs
台湾,Taiwan
本名,real name
比べる,compare
欧州,Europe
家族,family
系統,system
自動,automatic
止まる,stop
速度,speed
民族,People
そのまま,As is
知,knowledge
夜,night
余り,remainder
オープン,open
現れる,appear
分野,field
勢力,power
伝える,tell
ソフト,soft
統一,unification
生物,living thing
大,Big
太平洋,pacific ocean
ヒット,hit
超える,exceed
土地,land
制御,control
動く,move
太郎,Taro
九州,Kyushu
職,job
歌手,singer
元々,originally
段,step
治,Osamu
市場,market
層,layer
反応,reaction
表,table
独自,unique
親,parent
記す,write down
美,beauty
発電,power generation
改正,Amendment
テーマ,theme
空,Sky
組合,union
参戦,Participation
域,area
処理,process
細胞,cell
分ける,divide
商品,merchandise
性能,performance
ポーランド,Poland
原因,cause
原作,original work
ライン,line
安全,safety
改造,modification
カナダ,Canada
帝,Emperor
つつ,Tsutsu
図る,plan
愛,Love
明らか,clear
秒,seconds
仕事,work
派遣,dispatch
特定,identification
死,death
定義,definition
レコード,record
本部,Headquarters
実験,experiment
毎年,every year
タイプ,type
所在,Location
関東,Kanto
理論,theory
管,tube
接続,connection
神戸,Kobe
通称,Common name
破壊,destruction
実現,realization
化学,chemistry
所有,possession
ベース,base
反,anti
兄,older brother
連盟,federation
米国,US
拠点,Base
師団,division
主人公,main character
全く,absolutely
私,I
トン,tons
基地,base
質,quality
建てる,build
成長,growth
面積,area
神奈川,Kanagawa
今,now
同盟,alliance
発,Departure
記,Record
軌道,orbit
逆,reverse
通ずる,communicate
オランダ,Netherlands
貢献,contribution
備える,prepare
障害,hindrance
商業,commerce
計,total
雄,male
愛知,Aichi
源,source
ブランド,brand
購入,purchase
直後,Immediately after
行為,action
利,Interest
松,pine
山口,Yamaguchi
教,teaching
東北,Tohoku
朝日,Asahi
走る,Run
ステージ,stage
作成,create
被害,damage
機構,mechanism
本社,main office
海外,abroad
原子,atom
住宅,housing
代わる,replace
達成,achievement
沖縄,Okinawa
働く,work
ベスト,vest
歌う,sing
改革,reform
首都,capital
守,Mamoru
高,high
仕様,specification
聖,holy
誕生,birth
古,old
スタジオ,studio
入学,admission
ビデオ,video
ツアー,Tours
移る,move
従う,follow
刊行,Publication
男子,Boys
学園,Academy
ポイント,point
節,section
盤,board
建物,building
コーナー,corner
皇帝,emperor
作業,work
上がる,Go up
兄弟,Brother
相当,equivalent
オーストラリア,Australia
植物,plant
紙,paper
集団,group
慶,Kei
通,General
投票,vote
敗,Defeat
ネット,Net
単位,unit
並ぶ,line up
維持,maintain
解散,dissolution
切る,cut
形態,form
郵便,Post
関西,Kansai
説明,explanation
康,Health
仙台,Sendai
藩主,lord
減少,decrease
静岡,Shizuoka
孫,grandchild
移転,transfer
交換,exchange
目,eye
経由,via
復活,revival
貨物,cargo
現役,Active duty
主演,starring
死亡,death
伝統,tradition
酸,acid
ポジション,position
跡,trace
銀,Silver
メダル,medal
見える,appear
要求,request
制限,limit
図,figure
機体,Aircraft
共通,common
農業,Agriculture
公演,Performance
プレーヤー,player
記事,article
選択,choice
予選,Qualifying
レベル,level
福島,Fukushima
向上,improvement
イングランド,England
府,prefecture
憲法,constitution
要素,element
売る,sell
幕府,Shogunate
任務,mission
収める,contain
仁,Jin
車体,car body
デジタル,Digital
園,garden
プロジェクト,project
報道,news coverage
史上,history
追う,pursue
大陸,continent
沢,Sawa
広,wide
観測,observation
西部,western
役割,role
定,fixed
古い,old
順,order
津,Tsu
すぐ,soon
都,capital
入団,Join
兼,and
葉,leaf
体制,System
秀,Hide
有する,have
基準,standard
井,well
長野,Nagano
占める,occupy
命令,order
便,flight
刃,blade
メーン,main
首相,prime minister
足,feet
一重,Single
限る,limit
プログラム,program
引く,Pull
宣言,declaration
よ,Yo
里,village
亡くなる,die
気,air
訓練,training
江,Jiang
レギュラー,regular
建造,construction
古代,ancient
宗教,religion
失敗,failure
手掛ける,handle
深い,deep
多,Many
やる,do
地下,underground
係る,related
衆議院,House of Representatives
コース,course
天文,astronomy
属す,belong to
記載,description
身,body
岡山,Okayama
もう,already
スタート,start
内部,internal
繋がる,connect
投手,pitcher
旅客,passenger
温泉,hot spring
戸,door
半島,peninsula
因む,attributed to
少女,girl
争う,fight
板,board
達する,reach
段階,step
衛,Mamoru
禁止,Ban
詳細,detail
向ける,turn to
停止,Stop
埼玉,Saitama
対立,conflict
アフリカ,Africa
知事,governor
ワールド,world
太陽,Sun
国鉄,Japanese National Railways
兵庫,Hyogo
訪れる,visit
長崎,Nagasaki
注目,attention
連,Communicating
来る,come
陸上,land
帰国,Returning to Japan
名誉,honor
連隊,regiment
博物,natural history
いわゆる,So-called
指名,name
エネルギー,energy
為される,be done
器機,equipment
稲妻,lightning
地震,earthquake
土,soil
青,blue
空間,space
特殊,Special
属する,belong to
ホテル,Hotel
夢,dream
安定,stable
任命,appointment
死ぬ,die
陸,land
杯,cup
発足,Inauguration
後継,successor
精神,spirit
改称,Renamed
画,picture
今日,today
近代,modern times
潜水,diving
破る,break
幅,width
一種,kind of
藤,Wisteria
比較的,comparatively
メジャー,major
居る,be there
改良,improvement
席,seat
継承,inheritance
南北,north and south
医療,medical care
起きる,get up
操作,operation
理事,director
マーク,mark
機械,machine
延長,extension
強化,reinforcement
主催,Sponsored by
昇格,promotion
優秀,excellence
仏,Buddha
カー,car
打つ,strike
しばしば,often
トラック,truck
日付け,Date
通算,total
小形,small size
占領,occupation
郷,township
到着,arrival
紀,Ki
著作,Works
生徒,student
付属,Attached
まだ,still
守る,protect
また,Also
東部,eastern
本来,originally
通過,passing
継続,continuation
ドル,dollar
当選,Winning
コード,code
施行,enforcement
カリフォルニア,California
指摘,pointing out
連絡,contact
鹿児島,Kagoshima
真,true
次ぐ,next
交差,crossing
なる,Become
会員,Member
岩,rock
上記,the above
以来,Since then
同一,same
池,pond
良,good
半,half
傾向,tendency
責任,responsibility
倍,times
配信,delivery
図書,books
分離,separation
ユダヤ,jewish
大学院,graduate school
本人,The person himself
計算,calculation
豊,Yutaka
フリー,free
諸島,islands
バージョン,version
スター,star
合う,Fit
命,life
小さい,small
冬,winter
河,river
技,technique
スタイル,style
ガス,gas
立てる,stand up
地位,position
略称,Abbreviation
加入,Join
挑戦,challenge
アナウンサー,announcer
ホール,hole
経,Sutra
対策,countermeasure
資料,Document
加盟,Affiliation
岸,shore
通う,go to
視聴,watch
変える,change
オーストリア,Austria
イン,in
比,ratio
一般に→一般,Generally → General
確保,Secure
困難,difficulty
回る,spin
冠,crown
絵,picture
聞く,listen
産,production
増える,increase
価格,price
判定,judgement
推進,promotion
イメージ,image
料理,cooking
小,small
普及,Spread
東海,Tokai
ユニット,unit
熊本,Kumamoto
分かる,I understand
札幌,Sapporo
出力,output
陣,camp
待つ,wait
羽根,feather
巡る,go around
ソフトウエア,Software
インターネット,internet
端,end
アンド,and
加わる,join
瀬,rapids
比較,comparison
コーチ,coach
民主党,Democratic Party
小さな,small
きっかけ,chance
ストーリー,story
判断,judgment
長男,eldest son
領域,region
戦車,tank
週,week
広がる,spread
声優,voice actor
メディア,media
分割,Split
改める,change
激しい,intense
モード,mode
極,very
逮捕,arrest
実行,execution
像,image
移行,transfer
横,beside
宝,Treasure
シティ,city
マイル,miles
対抗,opposition
更新,update
後期,Late period
リング,ring
学科,Department
タイ,Thailand
頁,page
民主,democracy
件,subject
ピアノ,piano
本格,Authentic
植民,colonization
交流,Alternating current
どう,copper
かなり,pretty
信号,signal
身長,height
範囲,range
若い,young
保存,keep
徳川,Tokugawa
京,Kyoto
軸,shaft
解説,Explanation
ミサイル,missile
市街,city
発射,firing
制定,enactment
空軍,Air Force
在籍,Enrollment
提案,suggestion
奈良,Nara
駒,piece
脚本,Script
供給,supply
結局,in the end
唯,Yui
学院,school
家庭,home
案,proposal
父親,father
衛星,satellite
志,Will
ゴール,goal
開設,Opening
前半,first half
展示,exhibition
ライト,light
長官,Secretary
隆,Takashi
回転,rotate
期待,expectations
有,Yes
スウェーデン,Sweden
秋田,Akita
繰り返す,repeat
シーン,scene
券,ticket
応じる,respond
関数,function
周年,anniversary
特急,express
岐阜,Gifu
取締,control
乗車,ride
命名,naming
換える,exchange
大量,large amount
奥,Back
作用,action
撤退,withdrawal
ブラジル,Brazil
名乗る,give one's name
ゲスト,guest
阪神,Hanshin
止める,stop
首,neck
通す,pass
ジョージ,george
問う,ask
伝説,Legend
目標,the goal
分かれる,be divided
だが,But
物理,Physics
名付ける,name
中止,cancel
周,Zhou
詩,poem
取り引き,transaction
昼,noon
短い,short
伊,Italy
設備,Facility
概念,concept
通る,pass through
サイズ,size
キリスト教,Christianity
すなわち,i.e.
携帯,cell phone
資金,funds
エリア,area
選,Selection
常,always
アップ,up
勤務,work
回避,Avoidance
引き継ぐ,take over
坂,Slope
大幅,Significantly
司,Tsukasa
装甲,armor
極める,master
意見,opinion
液,liquid
ネットワーク,network
軽,light
陽,Yang
銃,gun
分布,distribution
トンネル,tunnel
階級,class
執筆,writing
本塁,home plate
部屋,room
統治,governance
管轄,jurisdiction
兵器,weapons
石川,Ishikawa
成す,accomplish
拡張,expansion
歩兵,infantry
世代,generation
プロレス,wrestling
病,disease
浜,beach
進学,Further education
泉,Izumi
地名,place name
感,Feeling
こうした,These
だろう,right
作詞,Lyrics
規格,standard
一定,constant
急行,express
呼称,Name
学会,Society
列,column
窓,window
生息,Habitat
隣接,adjacent
ラテン,Latin
交渉,negotiation
綱,rope
燃料,fuel
ユーザー,user
基礎,basics
再開,resume
フジテレビ,"Fuji Television Network, Inc"
演出,Direction
平和,peace
さ,difference
哲学,philosophy
部長,manager
見做す,regard
負ける,lose
民間,private
裏,back
崩壊,collapse
執行,execution
後述,Described later
停車,stop
立場,position
過ぎる,Pass
前年,Previous year
固定,fixed
前作,Previous work
装,outfit
駆逐,Destroy
起用,Appointment
奪う,take away
本拠,Headquarters
前述,mentioned above
自己,self
発言,comment
連れる,take along
旅行,trip
認定,Certification
資格,qualification
物質,material
区別,Distinction
思想,thought
保険,insurance
愛称,Nickname
プロデューサー,producer
権利,right
侵攻,invasion
収容,containment
周囲,surroundings
酸化,oxidation
開通,Opening
同時,simultaneous
毛,hair
上位,top
消費,consumption
方針,policy
防御,defense
バック,back
関,Seki
背景,background
沖,offing
纏める,summarize
塩,salt
入社,Joining the company
電力,electric power
令,order
諸国,countries
形状,shape
カップ,cup
金属,metal
主題,subject
ベルリン,Berlin
合計,total
劇,play
ファイル,File
共産党,communist party
武器,weapon
不足,shortage
適用,Application
定期,regular
演ずる,play
玉,ball
危険,danger
前身,predecessor
殺す,kill
編入,Transfer
文書,documents
課程,course
機会,opportunity
大半,Most
スタッフ,staff
ショー,show
鈴木,Suzuki
視,vision
スペシャル,Special
症,disease
直前,Just before
チャート,chart
地点,point
満,Full
経歴,Career
球団,baseball team
張,Zhang
治療,treatment
進行,progress
移す,Move
ソビエト,soviet
側,~ side
田中,Tanaka
剤,agent
積極,proactive
ウィリアム,william
フォン,phone
犬,dog
カール,curl
ワシントン,Washington
代,teenager
金融,finance
検討,Consider
交響,symphony
政党,political party
解放,release
ケース,Case
ワールドカップ,World Cup
築く,build
児童,children
芸能,Entertainment
公共,public
開幕,Opening
鳥,bird
準備,preparation
機動,maneuver
沿い,along
ランキング,Ranking
なら,If
初め,beginning
録音,recording
弘,Hiroshi
アカデミー,academy
投入,input
優れる,excellent
新設,Newly established
組み合わせる,combine
感じる,feel
意識,consciousness
稀,rare
結合,join
球,ball
先ず,First of all
医学,medicine
回復,recovery
香港,Hong Kong
合流,Confluence
国勢,national strength
生む,produce
べき,should
合成,synthesis
浦,Ura
壁,wall
自衛,Self-defense
言える,I can say it
統計,statistics
友,friend
飾る,decorate
徳島,Tokushima
単独,Alone
上る,climb
殺害,murder
中村,Nakamura
決まる,decided
終える,finish
処分,disposal
ルール,rule
ミュージック,Music
程度,degree
平方,square
海岸,coast
改善,improvement
集合,set
カトリック,catholic
カメラ,camera
週間,week
中間,middle
料,fee
許す,forgive
暦,calendar
新人,newcomer
藤原,Fujiwara
チャンネル,Channel
テスト,test
練習,practice
建,Ken
旗,flag
去る,leave
毎週,weekly
鏡,mirror
鎌倉,Kamakura
買う,buy
三郎,Saburo
宮城,Miyagi
高度,altitude
次郎,Jiro
巨大,huge
わけ,reason
タレント,talent
メキシコ,Mexico
地下鉄,subway
ギリシャ,Greece
出会う,meet
コンサート,concert
ソング,song
東西,east and west
ルート,root
画面,screen
佐藤,Sato
医師,doctor
放映,Broadcast
市長,Mayor
かつ,and
顔,face
薬,medicine
欧,Europe
北京,Beijing
地帯,zone
英国,uk
人民,people
相互,mutual
タイム,time
接する,touch
全員,Everyone
翼,wings
姓,Surname
セット,set
楽,easy
フル,full
癒える,Heal
消滅,extinction
富士,Fuji
試みる,try
会場,venue
移住,emigration
規制,regulation
貴族,nobility
付,With
旅,Journey
祭り,festival
買収,acquisition
外交,diplomacy
戦略,strategy
話す,talk
各国,Each country
性,sex
乱,disorder
早い,early
北西,northwest
現象,phenomenon
ポール,Pole
網,network
確立,establishment
在,present
年齢,age
根,root
吉田,Yoshida
青森,Aomori
出走,Running
雪,snow
軍団,corps
歴任,Successive positions
招く,invite
生ずる,arise
漢,Han
抵抗,resistance
大分,Oita
ハンガリー,Hungary
駅舎,station building
反乱,rebellion
丁目,Chome
南西,southwest
手法,method
軍人,military man
カラー,Color
火,fire
表明,declaration
戦艦,battleship
動作,motion
翻訳,translation
アイルランド,Ireland
ソロ,solo
ジュニア,junior
署,Police station
有,Yes
落ちる,drop down
集まる,get together
輸入,import
スタジアム,stadium
有効,valid
財,wealth
検査,inspection
アーティスト,artist
広告,advertisement
ブロック,block
体育,physical education
捕らえる,capture
昇進,promotion
生涯,lifetime
自転車,bicycle
許可,permission
やや,somewhat
提出,submission
名義,Name
用意,preparation
話題,topic
どちら,Which
国王,king
罪,sin
推定,Estimation
区域,area
ギター,guitar
キー,Key
死後,after death
塔,tower
尚,still
富山,Toyama
国会,Diet
草,grass
生成,Generate
予備,spare
判決,judgment
隣り,next door
健康,health
危機,crisis
額,amount
緑,green
低下,decline
何,what
越える,surpass
認識,recognition
桜,cherry blossoms
悪い,bad
末期,terminal stage
寛,Hiroshi
サウンド,sound
審査,examination
峠,mountain pass
貿易,trade
武装,armed
戦線,battle line
サポート,support
保有,possession
凡そ,about
血液型,blood type
ポルトガル,Portugal
マシン,machine
財政,finance
チャンピオン,champion
走行,Running
犯罪,crime
輪,ring
北東,northeast
福,Fuku
魚,fish
誰,Who
強制,compulsion
王者,champion
調整,adjustment
際する,come to an end
返す,return
遺跡,Remains
遅れる,be late
スキー,skiing
工学,engineering
剣道,kendo
挟む,sandwich
集中,concentration
論文,paper
やがて,Eventually
街道,highway
解決,solution
熱,heat
性格,personality
増,increase
深夜,late night
扉,door
改名,name change
担う,take charge
臨時,temporary
松本,Matsumoto
収入,income
境,boundary
議論,discussion
巻く,roll
上昇,rise
終戦,end of war
姫,princess
レーベル,label
ニュー,new
ちなみに,By the way
文庫,Bunko
主力,Main force
協議,Discussions
次第に,gradually
弁護,defense
用語,term
術,technique
分子,molecule
引き続く,continue
施す,give
食品,food
教師,teacher
正す,correct
山本,Yamamoto
興,Xing
仲間,fellow
重量,weight
スイス,Switzerland
中部,Chubu
拒否,rejection
標高,elevation
新宿,Shinjuku
項目,item
合格,Passed
曖昧,ambiguous
山田,Yamada
暮らす,live
来,Next
パーク,Park
食べる,eat
過ごす,spend
モスクワ,Moscow
受け入れる,accept
留学,Study abroad
従事,engaged
笑う,smile
墓,grave
記者,reporter
居住,residence
負う,bear
三重,Triple
機種,Model
投げる,throw
らしい,Apparently
黄,yellow
抑える,suppress
再建,reconstruction
海上,Sea
ロケット,rocket
ドラフト,draft
分析,analysis
楽団,orchestra
証明,Proof
川崎,Kawasaki
くらい,About
否定,denial
側面,side
駅前,In front of the station
訳,reason
理解,Understanding
業界,industry
割,Discount
宮崎,Miyazaki
タウン,town
アメリカン,American
アイドル,Idol
事態,situation
